Compactness,Roundness,SF3,area,centroid-0,centroid-1,eccentricity,equivalent_diameter,local_centroid-0,local_centroid-1,major_axis_length,minor_axis_length,orientation,perimeter,solidity,grade
0.62258974,0.538677361,0.844729,47803,299.1815995,389.7285108,0.8885052,246.7077,129.1816,193.7285,396.2604,181.8307,-1.28508,1056.01,0.836477,180
0.694812622,0.546763626,0.801954,42838,289.1501704,320.4324432,0.7985072,233.5445,143.1502,99.43244,336.1259,202.3428,-0.06846,992.2468,0.799963,180
0.630309454,0.566930476,0.859064,45840,219.1765925,379.6463133,0.8866358,241.5891,148.1766,167.6463,383.2865,177.2579,-1.11353,1008.004,0.862611,180
0.627423457,0.484092462,0.749458,41437,282.7004368,309.5488814,0.850942,229.6938,160.7004,135.5489,366.0905,192.2926,-0.22802,1037.134,0.76889,180
0.640804486,0.542455883,0.790516,41909,279.6864397,382.2675559,0.8545034,230.9983,108.6864,166.2676,360.4817,187.2507,0.952847,985.3179,0.79265,180
0.631732621,0.53327464,0.79612,44854,356.4688991,356.9329603,0.8652798,238.9767,117.4689,168.933,378.2878,189.6316,-1.52179,1028.087,0.795495,180
0.68936382,0.6315326,0.884738,41449,297.6072282,369.7985717,0.8434974,229.727,106.6072,160.7986,333.245,178.997,1.016333,908.1636,0.615893,180
0.698060071,0.415771501,0.806569,51887,228.2260875,336.5357989,0.7968716,257.0303,151.2261,151.5358,368.2066,222.4515,0.37113,1252.296,0.824952,180
0.631790535,0.580943644,0.835867,48121,234.6304316,297.8437481,0.8786105,247.5269,148.6304,111.8437,391.7863,187.0933,-0.5392,1020.247,0.834898,180
0.686583669,0.520262849,0.770512,45146,214.2517831,314.8805431,0.7910148,239.7534,132.2518,108.8805,349.1976,213.638,-0.48981,1044.247,0.803982,180
0.651156073,0.556604429,0.794922,45222,194.5425236,346.5665605,0.8458689,239.9551,99.54252,156.5666,368.5062,196.5579,-1.3759,1010.431,0.817728,180
0.645865993,0.493786827,0.786597,43583,295.0504096,380.1312897,0.8478019,235.5665,108.0504,183.1313,364.7298,193.421,1.049477,1053.159,0.799189,180
0.670711919,0.590638342,0.852004,36173,166.0724574,342.586653,0.849247,214.6087,88.07246,143.5867,319.9715,168.9436,-1.45284,877.2763,0.848335,180
0.642824626,0.487435279,0.740368,46344,301.2648887,363.7685353,0.8297516,242.9136,120.2649,164.7685,377.8847,210.9099,1.489035,1093.058,0.780084,180
